age;time_to_maturity;balance;LTV;interest_rate;SingleFamily;balance_orig;FICO_orig;LTV_orig;Interest_Rate_orig;Default
29;91;362023.49;61.08927781;5.75;0;405000;759;73.5;5.75;0
21;94;344746.83;79.69223551;3;0;390000;724;62.4;4.875;0
16;105;597978.16;117.4711582;6.15;1;625500;705;90;6.15;0
33;87;86237.6;71.09079634;6.25;0;90760;683;80;0;0
11;110;99989.52;115.0217734;9.25;1;102000;622;85;0;0
13;105;217301.21;112.6598574;6.875;0;226050;674;80;6.875;0
7;114;316168.6;65.2868808;7.7;1;320000;557;80;7.7;0
23;97;382553.98;82.13519884;3.25;1;419000;709;65;5.375;0
14;106;361275.89;57.03803873;6.875;1;375000;671;79.8;6.875;0
9;111;108229.01;131.3161901;8.5;1;108900;645;90;8.5;0
4;116;407180.95;94.4163865;6.75;1;407200;661;80;6.75;0
0;119;179963.77;89.981885;9.2;1;180000;569;90;0;0
6;109;5.00E+05;60.39766671;4;1;5.00E+05;719;71.4;4;0
37;83;357527.73;67.82342192;3;0;414191;758;80;4.875;0
14;106;835779.44;108.3739108;3.271;1;788000;696;74;1;1
8;112;136992.48;62.11335939;5.99;0;139920;614;80;NA;0
3;117;245496.88;69.41414183;5.25;1;245600;712;80;5.25;0
8;112;412000;87.58295709;6.55;1;412000;731;79.2;6.55;0
1;116;167752.06;75.36089145;11.95;1;168000;544;70;11.95;1
19;101;520311.07;103.9880393;5.875;1;535200;761;80;5.875;0
36;82;406850.83;78.19626991;2.75;0;483000;697;78.5;5.375;0
16;102;180000;112.4003477;6.625;1;180000;679;80;6.625;1
19;101;59861.8;51.29380763;7.99;1;62400;602;80;7.99;1
13;108;289200.86;113.8538067;6.375;0;289300;745;80;6.375;0
24;96;86997.6;76.30085919;8.25;1;92450;642;84.8;8.25;0
8;113;181558.63;108.304897;7.5;1;184000;666;80;7.5;1
2;116;169164.85;91.04870151;6.25;0;171000;644;95;0;0
10;110;66288.42;102.9396146;10.3;0;67500;613;90;8.3;0
22;99;526475.09;95.07920765;5.195;0;526480;781;80;5.195;0
16;105;303175.75;36.33471724;6.125;1;340000;766;61.8;6.125;0
11;109;447021.55;119.6233304;8.25;1;416000;667;80;8.25;1
9;111;107637.67;50.91362918;8.45;1;109500;543;75;0;0
11;109;390808.92;71.76735813;5.625;1;392000;721;80;5.625;1
9;112;126108.89;65.16563562;7.417;0;123500;678;65;0;0
6;115;70178.61;83.40571222;7.75;1;70800;621;80;7.75;0
7;113;160686.74;85.35157362;8.525;0;161100;567;90;9;1
34;87;267989.74;74.00870177;2.625;0;294000;771;70;5.625;0
4;157;243853;70.33444029;7.428;1;240000;661;75;1.5;0
4;116;65789.7;105.8849379;9.99;1;66000;615;90;9.99;1
4;113;98228.01;84.37975885;8.4;0;1.00E+05;511;70;0;1
6;114;492284.24;90.84184927;5.625;1;5.00E+05;639;93.5;5.625;0
19;101;588803.45;83.44206915;5.875;1;588828;701;62;5.875;1
5;116;186079.01;64.10205833;6.5;0;188000;662;80;0;0
4;116;291459.68;91.34555456;9.5;1;292500;612;90;9.5;0
8;113;213129.09;56.57772666;8.375;1;216000;698;80;8.375;0
17;104;49671.16;53.77544415;6.5;1;52000;721;80;6.5;1
13;107;105310.54;111.1821297;6.99;1;108000;687;80;6.99;1
4;117;111928.08;96.61606393;8.99;1;112100;588;95;8.99;0
13;107;280900;114.0215406;7.125;1;280900;771;80;7.125;0
2;116;103759.46;81.94549469;8;0;103800;649;80;8;1
31;90;267757.08;103.6036421;3;0;268000;762;80;6.5;1
7;74;96370.89;93.73637953;7.24;1;99500;668;79.6;7.24;0
20;100;134389.5;118.9317426;7.575;1;134400;635;80;7.575;1
6;114;514590.98;89.00153265;6.75;1;521600;797;80;6.75;0
11;109;206310.26;51.67084612;6.99;1;212000;751;80;6.99;0
6;115;223104.64;84.895524;7.5;1;225000;676;81.4;7.5;0
4;116;431920;79.82733037;6.125;1;431920;707;80;6.125;0
3;118;286899.96;63.55938933;6.25;0;286900;676;61.7;0;0
36;84;100147.24;52.26758376;6.375;0;114950;686;59;6.375;0
2;115;260832.76;71.20917779;5.625;1;265000;761;71.1;5.625;0
7;107;98863.85;93.3966482;9.84;1;102960;685;80;0;0
46;74;53896.9;47.54627116;9.75;1;60000;516;92.3;11.75;0
3;117;190566.14;73.08471604;8.125;1;191200;596;80;8.125;0
10;150;373781.41;134.3079715;5.714;1;340000;725;88.3;1.875;1
36;84;42358.75;84.76459807;9.8;1;45125;609;95;0;0
12;68;83556.9;43.71542765;8.75;1;88000;528;52.4;8.75;1
5;116;109239.09;95.24778071;9.49;1;109800;663;90;9.49;0
9;108;211200;111.0987723;7.75;0;211200;642;80;7.75;1
37;84;36360.67;48.55155957;6;0;42500;745;56.7;6;0
37;43;95121.67;22.9524726;8.99;0;130000;722;65;0;0
21;99;179192.91;114.7505897;7.4;1;188000;636;80;0;1
19;101;71922.2;50.71093225;7;1;76000;706;57.6;7;0
5;116;73957.4;55.29173367;12.95;1;74100;533;65;0;1
36;84;99724.06;86.21806372;2.625;1;101600;781;80;6.5;0
10;110;359226.46;67.92311461;5.75;1;360000;735;80;5.75;0
6;114;89600;84.14422037;7.875;0;89600;659;80;7.875;0
18;42;44345.87;84.3110442;6.75;1;54450;695;74.6;6.75;0
7;113;107192.26;99.01017524;9.35;0;108000;658;80;9.35;1
5;115;225970.06;51.17782562;5.87;1;228600;586;64.4;5.87;0
14;107;374759.01;79.6716329;7.25;1;348400;809;51.4;0;0
26;94;129970.92;91.60709441;3;1;141500;738;69.9;7.25;0
3;117;135000;77.56939783;7.875;0;135000;706;74.2;7.875;0
5;115;71979.37;77.95598341;6.875;0;72000;635;80;6.875;0
9;112;183400;97.21142575;7.625;1;183400;788;70;7.625;0
22;98;248800;115.0311677;7.125;0;248800;641;80;NA;0
38;82;97066.4;87.93035301;7.75;1;109900;640;99.9;7.75;0
24;96;130779.66;107.4054846;7.65;1;132800;645;80;7.65;0
4;117;143741.78;76.90139111;8.6;1;144000;570;80;8.6;1
28;92;109878.28;91.33810905;8.125;0;117900;706;75;8.125;1
14;146;139460.81;140.7786385;4.875;1;124200;610;90;4.875;0
8;112;126538.7;64.85827538;5.875;1;129600;668;80;0;0
18;102;70600.56;57.87701219;12;1;72800;589;80;0;1
11;109;66085.57;103.1947526;8.375;1;67400;670;71.7;8.375;1
5;116;224743.81;92.53609511;9.99;1;225000;596;90;0;1
9;112;74340.06;60.83005641;8.99;1;75225;528;85;8.99;1
32;89;140734.21;97.48981367;9.35;0;151215;548;85;0;0
12;108;163537.22;138.1224555;7.25;0;166500;654;100;3;1
10;110;85696.92;90.34793101;7.5;0;93280;694;80;7.5;0
13;106;324000;83.82867394;10.875;0;324000;559;90;0;0
8;112;302550;70.57907597;6.625;0;302550;700;85;6.625;0
18;103;404887.61;89.25728006;6.625;1;405000;636;64.8;6.625;0
9;112;261174.09;103.7988794;8.875;0;240000;730;80;1;0
1;118;111993.55;82.5678211;9.875;0;112200;597;85;9.875;0
18;103;263226.1;71.25958199;5.125;1;264000;620;80;5.125;0
27;91;259084.35;94.51765973;3.125;0;285050;732;80;5.875;0
5;115;126192.37;50.02332399;6.95;1;127500;593;58.8;0;0
24;95;285932.06;90.61135915;5;1;279750;562;75;0;1
7;113;122500;87.28672723;7.5;0;122500;662;70;7.5;0
4;116;71958.05;77.07454149;8.08;0;72400;632;89.9;8.08;0
3;115;358700.57;92.27374725;8.25;0;360000;666;80;8.25;0
11;109;116787.27;79.61229565;9.2;1;118800;630;90;9.2;1
38;83;336179.89;62.92492124;6;1;367250;606;65;6;0
18;103;997628.89;88.42338667;5.875;0;998000;750;61.6;5.875;1
21;100;320541.9;81.62235717;5.875;1;344000;659;80;5.875;0
12;108;528247.98;103.2127151;5.375;1;512000;543;80;7.75;1
4;116;771000;54.30067988;4.625;0;771000;766;63.2;4.625;0
5;56;182124.69;75.54137508;6.125;1;188000;648;80;6.125;1
0;118;116652.42;94.91653377;11.94;1;116755;621;95;11.94;0
57;63;48191.53;39.34200694;8.5;1;59969;441;100;8.5;0
14;107;370000;71.54033986;7.625;0;370000;687;80;5.75;1
19;98;432844.32;90.96042617;6.625;0;464000;698;80;6.625;0
3;118;272000;82.8449188;7.375;0;272000;657;80;7.375;0
29;89;246303.99;83.35023172;2;1;268000;621;80;0;0
4;116;209250;88.51950355;6.875;0;209250;803;75;6.875;0
4;113;122009.57;80.92171153;6.5;1;124000;633;79;6.5;0
9;112;186405.61;98.73720751;9.625;1;187200;643;80;9.625;0
9;111;1.00E+06;48.57861415;5.125;0;1.00E+06;713;57.8;5.125;0
13;104;460000;112.7869253;5.125;0;460000;684;77.3;5.125;0
31;89;40297.68;67.60354367;2.75;1;51450;769;70;6.5;0
6;114;297027.19;65.97949724;7.95;1;3.00E+05;582;55.1;0;0
4;116;168035.32;54.68475106;9.8;0;168350;537;65;9.8;1
7;111;570400;99.75625969;10.375;0;570400;672;80;7.85;1
0;114;104037.83;78.81653788;6.89;1;105600;680;80;0;0
4;116;255562.12;83.14042896;8.075;1;256000;743;80;0;1
17;104;281951.73;113.6575704;7.75;1;289000;531;85;7.15;1
7;113;42074.64;69.50524515;10.15;0;42500;608;85;0;1
29;92;193267.03;92.92200139;8.1;1;208000;698;80;8.1;0
12;48;192599.29;82.4478816;13.5;0;205000;697;64.1;13.5;1
13;107;394551.39;50.29013934;3.95;1;417000;793;61.8;3.95;0
59;62;102313.41;33.2104119;6.125;1;125344.45;743;83;6.125;0
2;119;250664.26;86.93327675;7.2;1;250750;621;85;0;0
3;118;163997.38;76.44672746;8.5;1;164400;595;80;8.5;0
3;117;77971.08;102.7194087;10.175;0;78194.4;670;100;10.175;0
33;87;50779.8;78.61509725;7.5;1;56000;690;80;7.5;1
18;101;158522.96;129.9841446;6.625;1;159435;581;90;0;1
26;95;303243.32;46.69475296;5.5;1;335000;631;54.5;5.5;0
5;115;443985.29;89.81039254;8.125;1;447000;650;74.5;8.125;1
2;118;99429.64;89.93801072;7.15;1;99750;743;95;7.15;0
36;81;109689.23;74.242389;3.125;0;123300;652;74.8;5.625;1
3;117;562498.74;92.71204252;7.4;0;-9999999;600;90;7;0
21;100;270320;121.4831;7;1;270320;664;80;7;1
4;117;126693.87;84.36813716;8.125;1;127120;626;80;8.125;1
15;103;1119200;113.1765301;4.75;1;1119200;750;80;4.75;1
3;117;351200;71.59245428;5.7;0;351200;721;80;5.7;0
41;79;62836.32;58.98873986;7.99;0;72000;655;76.6;0;0
15;106;367981.66;118.7604362;7.25;0;342400;689;80;0;1
28;92;186381.3;66.46615231;6.5;1;206000;749;63.4;6.5;0
33;87;339883.95;96.27189928;3.125;0;340000;668;80;6.25;0
30;90;768000;96.54070407;2.625;1;789600;749;80;6.875;0
34;86;69469.46;103.3951013;9.1;1;76000;588;93.8;9.1;1
21;59;34962.98;125.2740499;8.5;1;39900;668;95;8.5;0
23;95;80232.62;104.5640311;3;1;88163;682;90;6.875;0
21;100;99502.96;119.7982571;6.5;1;102000;622;85;NA;0
2;116;175268.97;78.18804066;6.75;0;175420;713;79.8;6.75;0
15;105;929142.25;89.22211953;6;1;930000;728;62;0;0
6;114;255434.27;101.1523761;9;0;256000;642;80;9;1
20;100;128643.69;79.49869077;6.4;1;136850;760;85;6.4;0
31;89;93768.61;79.92672028;5.7;1;106200;716;90;5.7;0
11;109;112597.23;124.185473;9.65;1;114300;559;90;9.65;0
4;116;186720.95;84.43527959;7.695;1;187200;635;80;7.695;0
5;113;327108.36;95.56316978;7;0;327200;743;80;7;0
30;90;255695.85;96.94182594;2.75;1;270400;805;80;6;1
7;114;145863.36;99.44493726;8.755;0;146320;596;80;8.755;1
56;65;61219.51;45.64738602;6;1;81126.12;777;98.4;6;1
8;150;489474.6;113.4994566;6.294;0;448000;692;80;1;1
18;100;204490.13;82.85965668;7;1;220000;687;64.7;7;0
15;105;141591.1;109.4589439;7.625;1;146400;789;80;7.625;1
8;112;90619.78;94.73166342;8.125;1;92000;600;80;8.125;0
5;115;140800;80.81576911;7.5;1;140800;575;80;7.5;0
5;115;101457.74;67.55517732;7.59;1;102400;600;80;7.59;0
16;105;175500;131.0072229;6.25;0;175500;776;90;6.25;0
32;88;544821.48;93.26030112;2.875;1;549600;764;80;4.125;0
12;108;89946.04;102.0987153;9.5;0;91000;623;70;0;1
34;26;175648.52;41.84301373;4.625;1;341500;763;71.9;4.625;0
20;100;207889.91;86.91491648;7.85;0;216000;567;63.5;7.85;1
6;114;135691.3;80.09363889;8.5;0;137000;636;100;8.5;0
11;110;497394.31;121.6861854;7.25;0;480000;734;80;7.25;0
15;105;135963.54;118.1842804;8.59;1;140000;616;88.1;8.59;0
12;108;46036.54;61.26432556;13.75;1;46800;566;90;9.75;0
6;115;75407.15;74.54678883;8.76;1;76000;575;80;8.76;0
11;90;1551.37;0.178579936;6.25;1;478400;677;80;3;0
10;111;149588.95;91.69634953;8.99;1;152000;576;80;8.99;0
14;106;608459.58;102.108799;7.25;1;630000;778;75;7.25;0
21;97;235998.23;116.3361238;2.875;0;236000;634;80;0;1
0;117;91441.66;79.51448696;7.5;1;92000;711;80;7.5;0
15;103;304727.4;89.7535799;5.125;1;305000;780;63.5;5.125;0
5;115;339444.31;82.21348188;9.65;0;340000;572;80;9.65;1
5;113;219274.18;89.34583841;7.65;0;220240;640;80;7.65;0
27;90;184814.67;122.2578417;9.9;1;196500;651;100;9.9;0
27;93;631474.05;92.88285321;4;1;650000;647;79.8;4;0
19;101;451068.87;52.76459293;5.875;1;482000;778;70.1;5.875;0
17;104;364506.7;138.7356267;6.75;0;365000;702;100;6.75;0
1;117;78000;80.58562389;7.65;0;78000;649;79.6;7.65;0
18;40;205471.9;50.18329488;5.625;1;388000;752;76.8;5.625;0
32;88;84113.55;87.40411496;5.875;1;92000;495;80;5.875;0
6;114;152247.84;45.39780847;6.432;1;160000;735;50.8;0;0
3;116;122400;71.5471903;5.875;1;122400;652;79.7;5.875;0
25;95;699990.95;107.3747444;2.75;0;7.00E+05;670;80;6.375;0
15;105;496000;110.3036705;5.875;0;496000;721;80;5.875;0
3;117;93425.03;71.6822529;9.8;1;93600;579;80;9.8;0
10;110;119900;104.0813276;11.875;1;119900;607;100;8.875;1
35;26;178342.22;29.65582649;7.49;1;297877;589;64.5;7.49;1
4;117;283502.09;75.72906789;6.95;0;284500;681;73;6.95;0
14;106;335491.46;100.7647996;6.955;0;344000;658;71.7;6.955;0
6;113;123630.78;78.80920907;6.375;0;123750;725;75;6.375;1
47;13;9826.21;16.43590865;10.9;1;22460;490;64.2;10.9;1
12;108;49242.23;103.6847056;9.79;1;50000;508;76.9;9.79;1
9;109;123559.48;92.18985385;6.25;1;127840;736;80;6.25;0
10;111;104678.23;124.3498166;8.65;1;105300;630;89.6;8.65;1
4;117;73011.5;72.16185162;7.5;1;73400;605;78.6;7.5;0
6;79;36037.86;44.0047725;8.99;0;40000;645;57.1;8.99;0
8;110;420906.07;77.98174279;5.75;0;440000;762;80;5.75;0
10;111;139960.38;118.2386526;7.825;1;140720;710;80;7.825;1
28;92;137423.94;91.74122981;5.04;1;148000;560;80;0;0
6;115;84993.19;99.82630149;9.75;0;85450;546;89;9.75;1
9;151;187720.33;120.3471431;5.429;0;183200;674;80;1;0
11;109;396000;117.4307141;7;1;396000;726;80;7;1
3;157;264898.38;64.40170445;8.677;0;258000;653;60;1.45;0
22;38;32166.18;23.97797482;9.95;1;40000;788;53.3;9.95;0
6;114;365558.86;77.36087456;7.88;1;369550;743;95;0;0
2;157;295561.28;68.83199255;7.373;1;291200;657;70;NA;0
15;107;65956.72;101.8587334;7;1;90500;642;100;7;0
10;108;361600;98.34256592;10.25;0;361600;698;80;6.25;1
8;112;70593.53;98.46140606;6.75;1;71900;739;80;6.75;0
17;140;1585966.19;134.5812497;2;0;1360000;716;80;1;1
5;116;179958.75;68.42498607;5.5;1;180000;703;80;5.5;0
14;106;201456.8;102.9270968;8.25;0;207500;738;77.7;8.25;0
26;75;690000;41.29233898;4.25;1;990000;751;63.9;3.125;0
11;110;206811.99;56.00318302;8.65;1;213000;549;64.1;0;1
6;114;130674.7;77.40878751;8.25;1;132000;614;100;0;1
14;107;97634.85;106.6158828;5;1;106200;693;90;5;0
1;115;96746.17;72.36963757;9.99;1;97487;568;75;7.99;1
21;98;385204.08;109.9305948;5;0;399500;601;85;0;0
3;117;87742.83;78.63580391;8.75;1;88000;607;80;8.75;0
23;97;197572.15;117.3974884;3.94;1;195600;623;80;3.94;1
35;85;380140;82.27606626;2.25;0;393140;691;80;3.625;0
26;92;108000;111.7606901;7;0;108000;667;80;7;1
10;107;261897.3;107.537824;6.125;0;272000;687;80;6.125;0
8;112;110670.58;102.6492544;8.875;1;112000;688;80;8.875;1
6;52;37739.15;85.6270835;8.475;0;40000;604;88.9;8.475;1
10;110;750000;111.4068851;7;0;750000;685;79.8;7;0
11;109;259832.05;96.00264787;9.25;0;260000;709;80;0;1
26;95;112944.4;92.03131617;6.188;0;121600;633;80;6.188;1
0;118;259828.5;99.93403846;6.99;0;260000;683;100;0;0
12;93;33824.57;56.92678291;11.75;1;35500;629;68;11.75;0
2;111;249177.16;72.0412115;7.75;1;253600;581;80;0;0
22;98;174281.31;101.9035286;6.875;1;186000;658;75.9;6.875;0
7;114;67258.39;63.61450737;8.5;1;68000;558;85;8.5;0
7;113;223998.31;120.1614788;8.125;0;214000;678;80;8.125;0
0;117;369035.29;89.89897442;6.99;0;369450;663;90;6.99;1
28;92;90033.52;62.36808401;8.85;0;96000;688;80;8.85;0
16;144;583664.92;125.7176221;4.182;1;532000;711;80;1.9;1
32;88;123017.69;87.56287568;2.875;0;133200;662;80;6.5;0
2;115;271394.27;81.79495202;8.6;0;272000;548;80;2;1
17;103;62791.14;109.1759395;7.625;1;63920;643;80;7.625;0
4;117;134418.98;88.64921997;7.75;0;135000;612;100;7.75;0
1;115;191487.49;78.89088833;6.5;0;192000;683;80;6.5;0
5;155;242805.57;110.7175795;8.475;1;233700;685;95;1.375;1
32;89;107359.58;85.16631551;3;0;116800;754;80;0;0
2;118;99598.76;91.28217294;6;1;1.00E+05;676;100;6;0
14;107;428000;115.2807119;5.5;1;-9999999;696;80;5.5;0
5;108;155799.76;72.05689942;6.375;1;161000;660;70;0;0
20;100;78706.32;126.5042423;9.55;1;81000;602;90;9.55;0
6;112;243045.12;125.0252415;8.85;0;245700;681;90;0;1
7;114;94548.35;71.53663501;9.494;0;95400;629;90;0;1
6;114;166496.23;80.55624553;6.75;1;168800;630;80;6.75;0
6;154;271036.71;98.15004133;7.75;1;260000;728;74.3;1.25;1
6;114;146963.81;97.44389222;7.45;0;148640;640;80;7.45;1
3;115;114077.07;74.48759745;6.29;1;114080;713;79.8;0;1
16;104;65500.29;124.4690207;8.625;1;67500;679;90;8.625;0
18;154;346672.91;147.7438247;2;0;315000;609;90;2;0
5;112;621000;93.55329646;5.8;0;621000;681;83.4;5.8;0
20;101;458315.61;106.3786589;3.768;0;418000;654;66.4;1;0
4;116;103800;74.0704179;7.875;0;103800;715;70;7.875;0
0;117;726608.87;89.37378475;5.25;1;731700;723;90;5.25;0
4;116;496634.56;68.79678454;8;1;5.00E+05;606;68;0;1
12;108;84284.29;120.7155556;10.625;0;85000;585;82.5;8.7;1
6;114;149000;76.57555424;5.5;1;149000;736;77.6;5.5;0
8;53;104737.17;39.62999337;5.125;0;113000;754;59.5;5.125;0
13;108;361524.47;114.5043806;4.125;0;337500;660;75;1;0
17;104;186606.97;87.87386475;7.25;1;195900;682;80;6;1
21;139;207555;119.9468748;3.418;0;187500;714;75;1.4;1
19;102;73149.21;129.5410851;8.24;1;76000;657;100;8.24;0
14;106;515834.78;67.14936601;5.625;1;775000;767;70.5;5.625;0
26;95;347514.08;96.71374629;6.75;0;368000;604;80;0;1
15;105;730571.74;103.3897401;6.875;0;760000;765;76.4;6.875;1
